Proc,OperAsig,ProcSig,ProcyOper,TraVA,TraNVA,Maq1,TiemProc,RechNOrec,TransPers,TiemPrepar,DatSistProd,CantTrabaj,CantMaq,LoteTransf1,TiemExtra,ParoLote,ParaDiseñSistem,Trabaj2,Maq2,TiemCiclo,Orden,NoTrab,Trabaj3,Maq3,CicloEquiv,BalancPuest,ProdUnid,ProdDiaria,PorCiclo,Horario,LoteTransf,Total,StockDiario,CicLoteTran,LTSeg,LTHr,LTDias,LoteProduc
Ai,1.2.3.7.8.9,As,0,36,12,190,1,0.013,480,900,2,1,2,500,7.2,,3,50.034,96.46,4,1,1,85.992,96.46,48.23,5,537.4248393,6,0,0,499,499,7,48117.5,193370,53.71388889,3.730131173,8
As,4.5.6.10.11.12,D,0,24,10,60,1,0.017,780,1200,2,1,1,1000,7.2,,3,35.958,61.62,4,1,,0,0,0,5,537.4248393,6,0,231.3912503,999,1230.39125,7,96235,193670,53.79722222,3.73591821,8
B,13.14,Fa,0,18,18,0,1,0.055,360,650,2,1,,1000,,,3,38.665,0,4,2,1,38.665,0,38.665,5,670.373723,6,0,0,999,999,7,38340,77330,21.48055556,2.983410494,8
C1,15.16.17,C2,0,31,15,0,1,0.06,50,950,2,1,,500,,,3,49.335,0,4,3,1,49.335,0,49.335,5,525.3876558,6,0,0,499,499,7,24430,98670,27.40833333,3.806712963,8
C2,18.19,C3,0,37,20,0,1,0.05,50,950,2,1,,500,,,3,60.425,0,4,4,1,60.425,0,60.425,5,428.9615225,6,96.42613327,0,499,595.4261333,7,29975,120850,33.56944444,4.66242284,8
C3,20.21,Fa,0,50,20,0,1,0.1,480,950,2,1,,1000,2,,3,77.955,0,4,5,1,77.955,0,61.00826087,5,424.8604964,6,4.101026108,0,999,1003.101026,7,77480,155910,43.30833333,4.707427536,8
D,22.23.24.25.26.27,Fa,0,82,40,0,1,0.065,240,600,2,2,,1000,1,,3,65.235,0,4,6,2,65.235,0,57.2795122,5,452.5178202,6,84.90701912,0,999,1083.907019,7,65085,130770,36.325,4.429878049,8
E,28.29.30.31,Fa,0,65,15,0,1,0.055,180,900,2,1,,1000,3,,3,85.03,0,4,7,1,85.03,0,60.02117647,5,431.8475832,6,0,0,999,999,7,84580,170060,47.23888889,4.631263617,8
Fa,32.33.34.35.36.37,Fb,0,66,11,0,1,0.03,10,850,2,1,,1,3,,3,89.735,0,4,8,1,89.735,0,63.34235294,5,409.204881,6,342.7800987,0,0,342.7800987,7,89.31,179470,49.85277778,4.887527233,8
Fb,38.39.40.41,Fc,0,58,15,0,1,0.035,10,850,2,1,,1,3,4,3,85.98,0,4,9,1,89.78,0,60.69176471,5,408.9997772,6,0.205103805,0,0,0.205103805,7,89.355,179560,49.87777778,4.889978214,8
Fc,42.43.44.45.46.47,G1,0,106,20,0,1,0.06,960,850,2,2,,25,3,175,3,86.1925,0,4,10,2,89.6925,0,60.84176471,5,409.3987792,6,0,120.4114056,24,144.4114056,7,2237,179810,49.94722222,4.896786492,8
G1,48.49.50.51,G2,0,27,13,30,1,0.04,15,1200,2,1,1,1,,,3,57.2,31.8,4,11,1,57.2,31.8,57.2,5,453.1468531,6,0,0,0,0,7,56.6,114400,31.77777778,4.413580247,8
G2,52.53.54,Ha,0,24,12,0,1,0.04,480,1200,2,1,,25,,,3,57.24,0,4,12,1,57.24,0,57.24,5,452.8301887,6,0.316664468,0,24,24.31666447,7,1416,114480,31.8,4.416666667,8
Ha,55.56,Hb,0,23,11,0,1,0.035,75,950,2,2,,2,1.5,,3,36.5825,0,4,13,1,73.165,0,60.55034483,5,428.0735324,6,24.75665625,0,1,25.75665625,7,145.38,146330,40.64722222,4.672094508,8
Hb,57.58.59.60.61,I,0,44,16,40,1,0.045,300,950,2,1,1,25,1.5,,3,75.175,42.275,4,14,1,75.175,42.275,62.2137931,5,416.6278683,6,11.44566412,71.83239109,24,107.2780552,7,1867.5,150350,41.76388889,4.800446999,8
I,62.63.64.65,R,0,38,20,45,1,0.015,600,500,2,1,1,200,,,3,62.12,45.925,4,15,1,62.12,45.925,62.12,5,417.2569221,6,0,0,199,199,7,12374,124240,34.51111111,4.793209877,8
