NroRecibo;NumeroCuenta;Codigo;Programa;Periodo;Ano;Apellidos_y_Nombres;Sede;Concepto1;ValorBasico_o_PLM;GastosAdmon;Bienestar;Otros;ConceptoDescuento;ValorDescuento;Procultura;Total;CodigoSede;FechaSinRecargo;ValorSinRecargo;FechaConRecargo;ValorConRecargo;NumeroReferencia
425603;656-03103-6;0146852;3845;2;2014;XXXX;ZARZAL;P. L. M.;308000;;30800;6160;  ;;0;344960;07;1/8/14;344960;8/8/14;375760;
425604;656-03103-6;0146978;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;137600;34400;0;6160;Ex 049 Estim. Sufragio;13760;0;164400;07;1/8/14;164400;8/8/14;181600;
425605;656-03103-6;0359654;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;  ;;0;160160;07;1/8/14;160160;8/8/14;175560;
425606;656-03103-6;0359788;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;199040;49760;0;6160;  ;;0;254960;07;1/8/14;254960;8/8/14;279840;
425607;656-03103-6;0452132;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;  ;;0;160160;07;1/8/14;160160;8/8/14;175560;
425608;656-03103-6;0474923;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;  ;;0;160160;07;1/8/14;160160;8/8/14;175560;
425609;656-03103-6;0550536;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;  ;;0;160160;07;1/8/14;160160;8/8/14;175560;
425610;656-03103-6;0558462;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;  ;;0;160160;07;1/8/14;160160;8/8/14;175560;
425611;656-03103-6;0558582;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;  ;;0;160160;07;1/8/14;160160;8/8/14;175560;
425612;656-03103-6;0655792;3249;2;2014;XXXX;ZARZAL;MATRICULA BASICA;246400;61600;0;6160;  ;;0;314160;07;1/8/14;314160;8/8/14;344960;
425613;656-03103-6;0655811;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;221200;55300;0;6160;  ;;0;282660;07;1/8/14;282660;8/8/14;310310;
425614;656-03103-6;0655845;3842;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;  ;;0;160160;07;1/8/14;160160;8/8/14;175560;
425615;656-03103-6;0655849;3842;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;  ;;0;160160;07;1/8/14;160160;8/8/14;175560;
425616;656-03103-6;0655856;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;155840;38960;0;6160;  ;;0;200960;07;1/8/14;200960;8/8/14;220440;
425617;656-03103-6;0655893;3842;2;2014;XXXX;ZARZAL;MATRICULA BASICA;311680;77920;0;6160;Ex 049 Estim. Sufragio;31168;0;364592;07;1/8/14;364592;8/8/14;403552;
425618;656-03103-6;0656736;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;239680;59920;0;6160;  ;;0;305760;07;1/8/14;305760;8/8/14;335720;
425619;656-03103-6;0767451;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;  ;;0;160160;07;1/8/14;160160;8/8/14;175560;
425620;656-03103-6;0767460;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;Ex 049 Estim. Sufragio;12320;0;147840;07;1/8/14;147840;8/8/14;163240;
425621;656-03103-6;0767472;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;  ;;0;160160;07;1/8/14;160160;8/8/14;175560;
425622;656-03103-6;0767475;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;274080;68520;0;6160;Ex 049 Estim. Sufragio;27408;0;321352;07;1/8/14;321352;8/8/14;355612;
425623;656-03103-6;0767487;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;290640;72660;0;6160;Ex 049 Estim. Sufragio;29064;0;340396;07;1/8/14;340396;8/8/14;376726;
425624;656-03103-6;0767499;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;290640;72660;0;6160;  ;;0;369460;07;1/8/14;369460;8/8/14;405790;
425625;656-03103-6;0767541;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;  ;;0;160160;07;1/8/14;160160;8/8/14;175560;
425626;656-03103-6;0767546;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;191520;47880;0;6160;  ;;0;245560;07;1/8/14;245560;8/8/14;269500;
